Row Labels,A Crimes against the person,B Property and deception offences,C Drug offences,D Public order and security offences,E Justice procedures offences,F Other offences
Alpine,395,668,87,165,225,68
Ararat,873,1498,276,309,805,93
Ballarat,4882,19408,743,1260,4832,497
Banyule,3740,14155,1078,1043,5265,517
Bass Coast,1911,3793,297,378,1282,151
Baw Baw,2644,6541,783,804,2220,397
Bayside,1833,10340,434,533,1476,356
Benalla,847,1680,185,274,744,58
Boroondara,2524,17766,553,574,1675,402
Brimbank,9297,33103,2228,2433,8014,1909
Buloke,182,435,143,35,98,45
Campaspe,1734,5238,371,449,2441,360
Cardinia,3705,11133,789,930,2821,950
Casey,12805,35703,3244,2344,7815,1742
Central Goldfields,894,1316,201,211,721,84
Colac-Otway,1077,2228,244,364,820,308
Corangamite,493,1111,96,119,346,133
Darebin,5625,28949,1728,1769,4562,1256
East Gippsland,3482,5927,704,964,2679,343
Frankston,6762,20250,1969,2696,7569,1533
Gannawarra,491,1031,116,189,443,124
Glen Eira,2802,15188,676,865,1862,656
Glenelg,937,1732,329,315,893,169
Golden Plains,355,1182,52,51,192,19
Greater Bendigo,5746,16468,986,1976,6309,431
Greater Dandenong,9191,29613,2711,3312,7309,2374
Greater Geelong,11127,36379,2183,3539,8531,1098
Greater Shepparton,4354,11944,1001,1454,5271,308
Hepburn,433,1433,45,77,254,58
Hindmarsh,268,511,62,69,161,16
Hobsons Bay,2987,11304,774,906,2099,746
Horsham,1472,2106,343,416,1396,138
Hume,11045,31513,2686,2435,8999,2482
Indigo,348,924,65,101,203,52
Kingston,4726,19946,1133,1460,4395,845
Knox,4821,18857,2210,1461,3807,721
Latrobe,7704,17025,1635,2578,7525,463
Loddon,330,768,54,69,292,39
Macedon Ranges,1195,3438,338,313,1077,390
Manningham,2050,8990,510,419,1145,275
Mansfield,293,532,66,163,218,115
Maribyrnong,3572,19186,898,1272,2288,831
Maroondah,3788,11958,981,1326,4337,365
Melbourne,15010,54958,5682,10170,10722,7939
Melton,7271,20976,1194,1313,4523,1062
Mildura,4150,9291,1169,1637,3723,365
Mitchell,2884,5077,594,644,2146,323
Moira,1150,3557,296,360,1157,200
Monash,4959,23756,1314,1236,3230,993
Moonee Valley,3500,16312,986,1117,2550,866
Moorabool,1146,3677,257,300,943,515
Moreland,6041,27964,1228,1460,4172,965
Mornington Peninsula,4783,16384,1563,2116,4601,1370
Mount Alexander,527,1604,150,168,562,80
Moyne,554,928,74,137,282,46
Murrindindi,615,1072,158,122,297,124
Nillumbik,1101,3603,259,245,816,132
Northern Grampians,798,1196,290,214,583,119
Port Phillip,5475,24962,1536,2032,3443,1489
Pyrenees,289,754,96,57,168,52
Queenscliffe,57,301,2,18,19,21
South Gippsland,1189,2195,142,165,1029,94
Southern Grampians,789,1357,313,254,765,108
Stonnington,4151,23506,1293,1850,2413,1183
Strathbogie,423,915,58,60,313,54
Surf Coast,798,2470,113,212,439,123
Swan Hill,1569,2796,380,562,1585,301
Towong,135,340,23,51,63,18
Wangaratta,1506,2697,502,571,1266,158
Warrnambool,2134,4240,617,724,1937,233
Wellington,3064,5383,442,761,2609,227
West Wimmera,147,233,38,24,64,36
Whitehorse,3770,17761,754,820,2391,626
Whittlesea,8659,25418,1970,1529,5816,1159
Wodonga,1849,5203,523,644,1666,464
Wyndham,9300,29393,1620,1901,6290,1631
Yarra,5419,27985,1650,2365,3218,1590
Yarra Ranges,4195,12589,1035,1041,3251,941
Yarriambiack,363,551,32,78,194,57
