,Unnamed: 0,Row Labels,A Crimes against the person,B Property and deception offences,C Drug offences,D Public order and security offences,E Justice procedures offences,F Other offences
0,0,Alpine,395,668,87,165,225,68
1,1,Ararat,873,1498,276,309,805,93
2,2,Ballarat,4882,19408,743,1260,4832,497
3,3,Banyule,3740,14155,1078,1043,5265,517
4,4,Bass Coast,1911,3793,297,378,1282,151
5,5,Baw Baw,2644,6541,783,804,2220,397
6,6,Bayside,1833,10340,434,533,1476,356
7,7,Benalla,847,1680,185,274,744,58
8,8,Boroondara,2524,17766,553,574,1675,402
9,9,Brimbank,9297,33103,2228,2433,8014,1909
10,10,Buloke,182,435,143,35,98,45
11,11,Campaspe,1734,5238,371,449,2441,360
12,12,Cardinia,3705,11133,789,930,2821,950
13,13,Casey,12805,35703,3244,2344,7815,1742
14,14,Central Goldfields,894,1316,201,211,721,84
15,15,Colac-Otway,1077,2228,244,364,820,308
16,16,Corangamite,493,1111,96,119,346,133
17,17,Darebin,5625,28949,1728,1769,4562,1256
18,18,East Gippsland,3482,5927,704,964,2679,343
19,19,Frankston,6762,20250,1969,2696,7569,1533
20,20,Gannawarra,491,1031,116,189,443,124
21,21,Glen Eira,2802,15188,676,865,1862,656
22,22,Glenelg,937,1732,329,315,893,169
23,23,Golden Plains,355,1182,52,51,192,19
24,24,Greater Bendigo,5746,16468,986,1976,6309,431
25,25,Greater Dandenong,9191,29613,2711,3312,7309,2374
26,26,Greater Geelong,11127,36379,2183,3539,8531,1098
27,27,Greater Shepparton,4354,11944,1001,1454,5271,308
28,28,Hepburn,433,1433,45,77,254,58
29,29,Hindmarsh,268,511,62,69,161,16
30,30,Hobsons Bay,2987,11304,774,906,2099,746
31,31,Horsham,1472,2106,343,416,1396,138
32,32,Hume,11045,31513,2686,2435,8999,2482
33,33,Indigo,348,924,65,101,203,52
34,34,Kingston,4726,19946,1133,1460,4395,845
35,35,Knox,4821,18857,2210,1461,3807,721
36,36,Latrobe,7704,17025,1635,2578,7525,463
37,37,Loddon,330,768,54,69,292,39
38,38,Macedon Ranges,1195,3438,338,313,1077,390
39,39,Manningham,2050,8990,510,419,1145,275
40,40,Mansfield,293,532,66,163,218,115
41,41,Maribyrnong,3572,19186,898,1272,2288,831
42,42,Maroondah,3788,11958,981,1326,4337,365
43,43,Melbourne,15010,54958,5682,10170,10722,7939
44,44,Melton,7271,20976,1194,1313,4523,1062
45,45,Mildura,4150,9291,1169,1637,3723,365
46,46,Mitchell,2884,5077,594,644,2146,323
47,47,Moira,1150,3557,296,360,1157,200
48,48,Monash,4959,23756,1314,1236,3230,993
49,49,Moonee Valley,3500,16312,986,1117,2550,866
50,50,Moorabool,1146,3677,257,300,943,515
51,51,Moreland,6041,27964,1228,1460,4172,965
52,52,Mornington Peninsula,4783,16384,1563,2116,4601,1370
53,53,Mount Alexander,527,1604,150,168,562,80
54,54,Moyne,554,928,74,137,282,46
55,55,Murrindindi,615,1072,158,122,297,124
56,56,Nillumbik,1101,3603,259,245,816,132
57,57,Northern Grampians,798,1196,290,214,583,119
58,58,Port Phillip,5475,24962,1536,2032,3443,1489
59,59,Pyrenees,289,754,96,57,168,52
60,60,Queenscliffe,57,301,2,18,19,21
61,61,South Gippsland,1189,2195,142,165,1029,94
62,62,Southern Grampians,789,1357,313,254,765,108
63,63,Stonnington,4151,23506,1293,1850,2413,1183
64,64,Strathbogie,423,915,58,60,313,54
65,65,Surf Coast,798,2470,113,212,439,123
66,66,Swan Hill,1569,2796,380,562,1585,301
67,67,Towong,135,340,23,51,63,18
68,68,Wangaratta,1506,2697,502,571,1266,158
69,69,Warrnambool,2134,4240,617,724,1937,233
70,70,Wellington,3064,5383,442,761,2609,227
71,71,West Wimmera,147,233,38,24,64,36
72,72,Whitehorse,3770,17761,754,820,2391,626
73,73,Whittlesea,8659,25418,1970,1529,5816,1159
74,74,Wodonga,1849,5203,523,644,1666,464
75,75,Wyndham,9300,29393,1620,1901,6290,1631
76,76,Yarra,5419,27985,1650,2365,3218,1590
77,77,Yarra Ranges,4195,12589,1035,1041,3251,941
78,78,Yarriambiack,363,551,32,78,194,57
